lab,compound,sample_type,RT,sample,peak_area,note,c_real_M
L1,Nigericin_NH4,cal,9.79,cal5,58753403,non-linear,1.47E-08
L1,Nigericin_NH4,cal,9.79,cal6,7811029.667,non-linear,2.89E-09
L1,Octocrylene,cal,8.47,cal1,800914.6667,linear,2.30E-06
L1,Octocrylene,cal,8.47,cal2,436152.3333,linear,1.20E-06
L1,Octocrylene,cal,8.47,cal3,285433,linear,7.12E-07
L1,Octocrylene,cal,8.47,cal4,123098.6667,linear,3.34E-07
L1,Progesterone,cal,6.93,cal1,39725143.67,non-linear,1.24E-06
L1,Progesterone,cal,6.93,cal2,12902266.33,linear,6.17E-07
L1,Progesterone,cal,6.93,cal3,8635857,linear,3.29E-07
L1,Progesterone,cal,6.93,cal4,4189490,linear,2.00E-07
L1,Progesterone,cal,6.93,cal5,1464435.667,linear,7.24E-08
L1,Progesterone,cal,6.93,cal6,98534.66667,non-linear,8.65E-09
L1,Rifaximin,cal,5.91,cal1,91880465,non-linear,4.90E-07
L1,Rifaximin,cal,5.91,cal2,21904993,non-linear,1.91E-07
L1,Rifaximin,cal,5.91,cal3,11921053,linear,8.71E-08
L1,Rifaximin,cal,5.91,cal4,5520270.667,linear,4.48E-08
L1,Rifaximin,cal,5.91,cal5,2827961.333,linear,1.61E-08
L1,Rifaximin,cal,5.91,cal6,660238,linear,2.69E-09
L1,Simazine,cal,4.25,cal1,1152108627,linear,2.29E-06
L1,Simazine,cal,4.25,cal2,353814804.7,linear,9.66E-07
L1,Simazine,cal,4.25,cal3,245555835.3,linear,4.95E-07
L1,Simazine,cal,4.25,cal4,111942775,linear,3.01E-07
L1,Simazine,cal,4.25,cal5,56386000.67,linear,9.47E-08
L1,Simazine,cal,4.25,cal6,4451675,linear,9.45E-09
L1,Spinosad_A,cal,7.12,cal1,234114641.7,non-linear,2.15E-07
L1,Spinosad_A,cal,7.12,cal2,61084763,non-linear,1.07E-07
L1,Spinosad_A,cal,7.12,cal3,34692088.33,non-linear,5.49E-08
L1,Spinosad_A,cal,7.12,cal4,11161751.67,non-linear,2.66E-08
L1,Spinosad_A,cal,7.12,cal5,3360287.667,non-linear,8.48E-09
L1,Spinosad_A,cal,7.12,cal6,167660.3333,non-linear,8.49E-10
L1,Sucralose_Na,cal,2.47,cal1,953334,linear,2.37E-06
L1,Sucralose_Na,cal,2.47,cal2,248793.6667,non-linear,1.07E-06
L1,Sucralose_Na,cal,2.47,cal3,138750,linear,4.81E-07
L1,Sucralose_Na,cal,2.47,cal4,56065.33333,linear,2.71E-07
L1,Sucralose_Na,cal,2.47,cal5,30319.5,non-linear,9.62E-08
L1,Sucralose_NH4,cal,2.47,cal1,4393121.3,non-linear,2.37E-06
L1,Sucralose_NH4,cal,2.47,cal2,653034.3,non-linear,1.07E-06
L1,Sucralose_NH4,cal,2.47,cal3,373174.7,non-linear,4.81E-07
L1,Sucralose_NH4,cal,2.47,cal4,155760.7,non-linear,2.71E-07
L1,Sucralose_NH4,cal,2.47,cal5,46938.5,non-linear,9.62E-08
L1,TCMTB,cal,6.02,cal1,18498425.67,linear,1.73E-06
L1,TCMTB,cal,6.02,cal2,4745664.667,linear,7.08E-07
L1,TCMTB,cal,6.02,cal3,3241440,linear,3.96E-07
L1,TCMTB,cal,6.02,cal4,1658547,linear,2.49E-07
L1,TCMTB,cal,6.02,cal5,616045,linear,7.96E-08
L1,TCMTB,cal,6.02,cal6,34908,non-linear,7.64E-09
L1,Tetraethylammonium,cal,1.01,cal1,1339187188,linear,1.13E-06
L1,Tetraethylammonium,cal,1.01,cal2,283983375,non-linear,6.22E-07
L1,Tetraethylammonium,cal,1.01,cal3,226837232.7,linear,3.59E-07
L1,Tetraethylammonium,cal,1.01,cal4,74981332.67,linear,2.41E-07
L1,Tetraethylammonium,cal,1.01,cal5,43320597.33,non-linear,9.90E-08
L1,Tetraethylammonium,cal,1.01,cal6,1787399,non-linear,1.76E-08
L1,Tetrahexylammonium,cal,7.63,cal1,673044001.3,linear,7.52E-07
L1,Tetrahexylammonium,cal,7.63,cal2,457943440.3,linear,3.93E-07
L1,Tetrahexylammonium,cal,7.63,cal3,192282609,linear,2.17E-07
L1,Tetrahexylammonium,cal,7.63,cal4,51671705.67,non-linear,1.13E-07
L1,Tetrahexylammonium,cal,7.63,cal5,2740794.333,non-linear,3.31E-08
L1,Tetrahexylammonium,cal,7.63,cal6,3234706,linear,3.02E-09
L1,Trichlorfon,cal,2.86,cal1,7650890.667,non-linear,1.76E-06
L1,Trichlorfon,cal,2.86,cal2,497992.3333,non-linear,7.54E-07
L1,Trichlorfon,cal,2.86,cal3,2017275,non-linear,3.95E-07
L1,Trichlorfon,cal,2.86,cal4,146165.3333,non-linear,2.39E-07
L1,Trichlorfon,cal,2.86,cal5,531927.6667,non-linear,7.80E-08
L1,Tylosin,cal,4.62,cal1,695356588.7,non-linear,4.20E-07
L1,Tylosin,cal,4.62,cal2,174931590.7,linear,1.90E-07
L1,Tylosin,cal,4.62,cal3,91593595.33,linear,1.01E-07
L1,Tylosin,cal,4.62,cal4,43310794,linear,5.77E-08
L1,Tylosin,cal,4.62,cal5,18637897.33,linear,1.93E-08
L1,Tylosin,cal,4.62,cal6,867013.6667,non-linear,1.96E-09
L1,Vancomycin_H,cal,1.9,cal1,126695,non-linear,2.71E-07
L1,Vancomycin_H,cal,1.9,cal2,26875.66667,non-linear,1.22E-07
L1,Vancomycin_H,cal,1.9,cal3,12359.5,non-linear,6.19E-08
L1,Vancomycin_H2,cal,1.9,cal1,4545258.333,non-linear,2.71E-07
L1,Vancomycin_H2,cal,1.9,cal2,1168391.333,linear,1.22E-07
L1,Vancomycin_H2,cal,1.9,cal3,706174.3333,linear,6.19E-08
L1,Vancomycin_H2,cal,1.9,cal4,413118.3333,linear,3.79E-08
L1,Vancomycin_H2,cal,1.9,cal5,147691,linear,1.25E-08
L10,Amitrole,cal,1.42,cal1,4949140.667,non-linear,6.25E-06
L10,Amitrole,cal,1.42,cal2,2249145,linear,2.58E-06
L10,Amitrole,cal,1.42,cal3,1128164.333,linear,1.34E-06
L10,Amitrole,cal,1.42,cal4,673418.6667,linear,7.78E-07
L10,Amitrole,cal,1.42,cal5,233095.6667,linear,2.35E-07
L10,Amitrole,cal,1.42,cal6,20019.33333,linear,2.02E-08
L10,Aspartame,cal,4.84,cal1,673566.6667,linear,1.72E-06
L10,Aspartame,cal,4.84,cal2,245413.3333,linear,7.04E-07
L10,Aspartame,cal,4.84,cal3,156932,linear,3.58E-07
L10,Aspartame,cal,4.84,cal4,74378,linear,2.13E-07
L10,Aspartame,cal,4.84,cal5,31425.33333,linear,7.22E-08
L10,Atrazine,cal,7.22,cal1,21657848.67,non-linear,1.93E-06
L10,Atrazine,cal,7.22,cal2,10705284,non-linear,8.29E-07
L10,Atrazine,cal,7.22,cal3,5659586.667,linear,4.24E-07
L10,Atrazine,cal,7.22,cal4,3439818.333,linear,2.48E-07
L10,Atrazine,cal,7.22,cal5,1191421.667,linear,8.51E-08
L10,Atrazine,cal,7.22,cal6,117589.6667,linear,8.73E-09
L10,Avermectin_B1a_H,cal,13.05,cal1,2092.333333,non-linear,1.35E-07
L10,Avermectin_B1a_H,cal,13.05,cal2,466.6666667,non-linear,7.02E-08
L10,Avermectin_B1a_NH4,cal,13.05,cal1,195215,non-linear,1.35E-07
L10,Avermectin_B1a_NH4,cal,13.05,cal2,48710.66667,non-linear,7.02E-08
L10,Benzotriazole,cal,4.68,cal1,5286810,linear,3.90E-06
L10,Benzotriazole,cal,4.68,cal2,2213276.667,linear,1.65E-06
L10,Benzotriazole,cal,4.68,cal3,1117127.667,linear,8.47E-07
L10,Benzotriazole,cal,4.68,cal4,676819,linear,5.02E-07
L10,Benzotriazole,cal,4.68,cal5,226799,linear,1.60E-07
L10,Benzotriazole,cal,4.68,cal6,21794,linear,1.62E-08
L10,Butocarboxim_H,cal,5.57,cal1,27192.66667,non-linear,1.98E-06
L10,Butocarboxim_H,cal,5.57,cal2,9594.666667,linear,1.00E-06
L10,Butocarboxim_H,cal,5.57,cal3,4167.666667,linear,5.01E-07
L10,Butocarboxim_H,cal,5.57,cal4,2471,linear,2.92E-07
L10,Caffeine,cal,4.4,cal1,4258546,non-linear,3.06E-06
L10,Caffeine,cal,4.4,cal2,1746804.667,non-linear,1.24E-06
L10,Caffeine,cal,4.4,cal3,871016.6667,non-linear,5.79E-07
L10,Caffeine,cal,4.4,cal4,525225.3333,linear,3.34E-07
L10,Caffeine,cal,4.4,cal5,173435.6667,linear,1.02E-07
L10,Caffeine,cal,4.4,cal6,18825.66667,linear,1.09E-08
L10,Carbamazepine,cal,6.67,cal1,23199542,non-linear,1.67E-06
L10,Carbamazepine,cal,6.67,cal2,13020636,non-linear,7.96E-07
L10,Carbamazepine,cal,6.67,cal3,6973920.667,non-linear,4.20E-07
L10,Carbamazepine,cal,6.67,cal4,4313174.333,linear,2.59E-07
L10,Carbamazepine,cal,6.67,cal5,1568201,linear,9.22E-08
L10,Carbamazepine,cal,6.67,cal6,161350.6667,linear,7.64E-09
L10,Cefoperazone,cal,4.3,cal1,306791.3333,linear,5.41E-07
L10,Cefoperazone,cal,4.3,cal2,119952.3333,linear,2.25E-07
L10,Cefoperazone,cal,4.3,cal3,60590.33333,linear,1.16E-07
L10,Cefoperazone,cal,4.3,cal4,34850.33333,linear,6.66E-08
L10,Cefoperazone,cal,4.3,cal5,10769.66667,non-linear,2.45E-08
L10,Chlormequat,cal,1.44,cal1,1845055,non-linear,1.87E-06
L10,Chlormequat,cal,1.44,cal2,578201.3333,non-linear,1.11E-06
L10,Chlormequat,cal,1.44,cal3,316259.3333,non-linear,6.51E-07
L10,Chlormequat,cal,1.44,cal4,107441.6667,non-linear,4.30E-07
L10,Chlormequat,cal,1.44,cal5,40421,non-linear,1.51E-07
L10,Chlormequat,cal,1.44,cal6,2187.666667,non-linear,1.89E-08
L10,Chlorothiazide,cal,3.62,cal1,144734.3333,linear,1.53E-06
L10,Chlorothiazide,cal,3.62,cal2,59583.66667,linear,6.60E-07
L10,Chlorothiazide,cal,3.62,cal3,29394.66667,linear,3.46E-07
L10,Chlorothiazide,cal,3.62,cal4,17212,linear,1.99E-07
L10,Chlorothiazide,cal,3.62,cal5,6113.333333,linear,6.90E-08
L10,Clarithromycin_H,cal,8.2,cal1,14697392.33,non-linear,5.08E-07
L10,Clarithromycin_H,cal,8.2,cal2,5950087,linear,2.50E-07
L10,Clarithromycin_H,cal,8.2,cal3,3056314.333,linear,1.34E-07
L10,Clarithromycin_H,cal,8.2,cal4,1665467,linear,7.98E-08
L10,Clarithromycin_H,cal,8.2,cal5,553671.6667,linear,2.48E-08
L10,Clarithromycin_H,cal,8.2,cal6,31228,non-linear,2.79E-09
L10,Clarithromycin_Na,cal,8.2,cal1,60774,linear,5.08E-07
L10,Clarithromycin_Na,cal,8.2,cal2,24533,linear,2.50E-07
L10,Clarithromycin_Na,cal,8.2,cal3,11705.33333,linear,1.34E-07
L10,Clarithromycin_Na,cal,8.2,cal4,5639.333333,non-linear,7.98E-08
L10,Dichlorvos,cal,6.24,cal1,14720140.67,linear,2.18E-06
L10,Dichlorvos,cal,6.24,cal2,6683018.333,linear,8.80E-07
L10,Dichlorvos,cal,6.24,cal3,2426530,linear,4.38E-07
L10,Dichlorvos,cal,6.24,cal4,1991960.667,linear,2.72E-07
L10,Dichlorvos,cal,6.24,cal5,496843.3333,linear,8.53E-08
L10,Dichlorvos,cal,6.24,cal6,71121,non-linear,7.13E-09
L10,Dimethyl_phthalate_H,cal,5.95,cal1,1007006.333,non-linear,2.31E-06
L10,Dimethyl_phthalate_H,cal,5.95,cal2,419240.6667,non-linear,9.63E-07
L10,Dimethyl_phthalate_H,cal,5.95,cal3,209338.3333,non-linear,5.04E-07
L10,Dimethyl_phthalate_H,cal,5.95,cal4,131913.6667,non-linear,3.09E-07
L10,Dimethyl_phthalate_H,cal,5.95,cal5,45966.66667,linear,8.73E-08
L10,Dimethyl_phthalate_H,cal,5.95,cal6,8136.666667,linear,1.00E-08
L10,Diphenyl_phthalate_H,cal,10,cal1,4853275,non-linear,1.34E-06
L10,Diphenyl_phthalate_H,cal,10,cal2,2595797.667,linear,6.44E-07
L10,Diphenyl_phthalate_H,cal,10,cal3,1537602.333,linear,3.82E-07
L10,Diphenyl_phthalate_H,cal,10,cal4,993060.3333,linear,2.07E-07
L10,Diphenyl_phthalate_H,cal,10,cal5,377259.3333,linear,7.88E-08
L10,Diphenyl_phthalate_H,cal,10,cal6,37832.66667,linear,1.07E-08
L10,Efavirenz,cal,9.69,cal1,2636745,linear,1.33E-06
L10,Efavirenz,cal,9.69,cal2,1169203.667,linear,5.86E-07
L10,Efavirenz,cal,9.69,cal3,538877,linear,3.13E-07
L10,Efavirenz,cal,9.69,cal4,386817.6667,linear,1.67E-07
L10,Efavirenz,cal,9.69,cal5,124043.3333,linear,7.13E-08
L10,Efavirenz,cal,9.69,cal6,13684.66667,linear,8.49E-09
L10,Emamectin_B1a,cal,11.8,cal1,1904138.667,non-linear,2.04E-07
L10,Emamectin_B1a,cal,11.8,cal2,333001.3333,non-linear,9.73E-08
L10,Emamectin_B1a,cal,11.8,cal3,121233.3333,non-linear,4.87E-08
L10,Guanylurea,cal,1.31,cal1,1614840.667,linear,1.25E-06
L10,Guanylurea,cal,1.31,cal2,688587.3333,linear,5.45E-07
L10,Guanylurea,cal,1.31,cal3,353157.6667,linear,3.20E-07
L10,Guanylurea,cal,1.31,cal4,190854.6667,linear,1.82E-07
L10,Guanylurea,cal,1.31,cal5,64898.33333,linear,4.72E-08
L10,Guanylurea,cal,1.31,cal6,6244.333333,non-linear,2.35E-09
L10,Haloperidol,cal,6.3,cal1,16908433,linear,5.96E-07
L10,Haloperidol,cal,6.3,cal2,7608097,linear,2.90E-07
L10,Haloperidol,cal,6.3,cal3,4254137,linear,1.49E-07
L10,Haloperidol,cal,6.3,cal4,2510919.333,linear,8.94E-08
L10,Haloperidol,cal,6.3,cal5,932994.3333,linear,2.62E-08
L10,Haloperidol,cal,6.3,cal6,80342.33333,linear,2.20E-09
L10,Imazalil,cal,8.08,cal1,14533490.33,linear,8.73E-07
L10,Imazalil,cal,8.08,cal2,6416491,linear,4.20E-07
L10,Imazalil,cal,8.08,cal3,3438610.667,linear,2.19E-07
L10,Imazalil,cal,8.08,cal4,2139830.333,linear,1.26E-07
L10,Imazalil,cal,8.08,cal5,747717.3333,linear,3.93E-08
L10,Imazalil,cal,8.08,cal6,62626.33333,linear,3.32E-09
L10,Ivermectin_B1a_NH4,cal,14,cal1,51150,non-linear,9.60E-08
L10,Ivermectin_B1a_NH4,cal,14,cal2,10405.33333,non-linear,5.01E-08
L10,L-alanine,cal,1.19,cal1,37942,linear,6.07E-06
L10,L-alanine,cal,1.19,cal2,15397.66667,linear,2.26E-06
L10,L-alanine,cal,1.19,cal3,7486.666667,linear,1.07E-06
L10,L-phenylalanine,cal,3.51,cal1,170388,linear,3.10E-06
L10,L-phenylalanine,cal,3.51,cal2,69465,linear,1.23E-06
L10,L-phenylalanine,cal,3.51,cal3,35331,linear,6.09E-07
L10,L-phenylalanine,cal,3.51,cal4,21840,linear,3.58E-07
L10,L-phenylalanine,cal,3.51,cal5,8181.666667,linear,1.21E-07
L10,Methamidophos,cal,3.17,cal1,3801171.333,linear,2.23E-06
L10,Methamidophos,cal,3.17,cal2,1593465.333,linear,9.91E-07
L10,Methamidophos,cal,3.17,cal3,804251,linear,4.84E-07
L10,Methamidophos,cal,3.17,cal4,481344.6667,linear,2.92E-07
L10,Methamidophos,cal,3.17,cal5,165018.3333,linear,8.52E-08
L10,Methamidophos,cal,3.17,cal6,16301.66667,non-linear,6.39E-09
L10,Metolachlor,cal,9.3,cal1,20199932.67,linear,1.45E-06
L10,Metolachlor,cal,9.3,cal2,9461129.333,linear,6.75E-07
